varcomp,Var,SE,pval,net,trait
h2r,0.6379798845126441,0.05860233608,2.0678582e-15,topo_c_1,topo_c_1
h2r,0.3524058948441104,0.09052352721,1.034e-4,topo_c_2,topo_c_2
h2r,0.5065741542805681,0.07638241294,1.803053e-9,topo_c_3,topo_c_3
h2r,0.5029649779725901,0.06816984817,2.2717333e-10,topo_c_4,topo_c_4
h2r,0.4824244180921337,0.08083343062,4.8167848e-9,topo_c_5,topo_c_5
h2r,0.4444522513089973,0.07239631324,1.5544464e-8,topo_c_6,topo_c_6
h2r,0.3477865395856081,0.07766042403,1.15e-5,topo_c_7,topo_c_7
h2r,0.5143580280764964,0.06947138422,1.0338088e-10,topo_c_8,topo_c_8
h2r,0.4979649364453708,0.05846278164,1.9969998e-13,topo_c_9,topo_c_9
h2r,0.4678295286836184,0.07734241329,4.9309013e-8,topo_c_10,topo_c_10
h2r,0.6564066281160932,0.05395612481,2.3036035e-20,topo_c_11,topo_c_11
h2r,0.5355771680328341,0.09091323432,2e-7,topo_c_12,topo_c_12
h2r,0.3162665447502389,0.08686948774,2.099e-4,topo_c_13,topo_c_13
h2r,0.5674621870080402,0.06077634572,1.8827709e-14,topo_c_14,topo_c_14
h2r,0.5773631585389706,0.06298100376,4.8234486e-16,topo_c_15,topo_c_15
h2r,0.509788896748576,0.06823554929,6.484118e-12,topo_c_16,topo_c_16
h2r,0.5676856585422059,0.06265214626,3.7952471e-13,topo_c_17,topo_c_17
h2r,0.4275156170768876,0.07660562218,2e-7,topo_c_18,topo_c_18
h2r,0.6111456942929516,0.06203698982,3.2580028e-13,topo_c_19,topo_c_19
h2r,0.449082535712599,0.07229787815,7.909293e-9,topo_c_20,topo_c_20
h2r,0.5110433817308309,0.06648937261,1.4468345e-11,topo_c_21,topo_c_21
h2r,0.5058156937432262,0.06578957299,1.561674e-11,topo_c_22,topo_c_22
h2r,0.1391772231635607,0.0733752488,0.0265951,topo_c_23,topo_c_23
h2r,0.4761086033497859,0.08710842601,7e-7,topo_c_24,topo_c_24
h2r,0.3972972249399921,0.08463861177,3.1e-6,topo_c_25,topo_c_25
h2r,0.4517784704564267,0.06699451754,2.7420699e-10,topo_c_26,topo_c_26
h2r,0.4990618745284939,0.07378009857,4.8706863e-10,topo_c_27,topo_c_27
h2r,0.320106656852078,0.07837933112,3.32e-5,topo_c_28,topo_c_28
h2r,0.3891946283012403,0.07357133579,3e-7,topo_c_29,topo_c_29
h2r,0.4390922468960431,0.06461627279,6.0251995e-10,topo_c_30,topo_c_30
h2r,0.3338752112311072,0.08954569903,1.198e-4,topo_c_31,topo_c_31
h2r,0.4621744186770003,0.08078066232,1.4341525e-8,topo_c_32,topo_c_32
h2r,0.3727849866631979,0.09583146628,8.41e-5,topo_c_33,topo_c_33
h2r,0.478106608639418,0.07548168145,2.2700679e-9,topo_c_34,topo_c_34
h2r,0.4532895652820858,0.06916862622,1.8294007e-9,topo_c_35,topo_c_35
h2r,0.5525962790742797,0.05606282688,5.7522265e-16,topo_c_36,topo_c_36
h2r,0.4128141365976398,0.08367257628,1.6e-6,topo_c_37,topo_c_37
h2r,0.3740727992251919,0.08135938234,4.3e-6,topo_c_38,topo_c_38
h2r,0.3853557384086729,0.07877884099,1.1e-6,topo_c_39,topo_c_39
h2r,0.3897296733124179,0.08592832734,1.2e-5,topo_c_40,topo_c_40
h2r,0.4452305630257271,0.07615035328,1e-7,topo_c_41,topo_c_41
h2r,0.4929643774432616,0.08214364122,4.5452727e-8,topo_c_42,topo_c_42
h2r,0.4377543613665354,0.06987516567,2.3836154e-9,topo_c_43,topo_c_43
h2r,0.473123711768499,0.06716940271,5.116108e-10,topo_c_44,topo_c_44
h2r,0.5271396449167436,0.0770475468,1.0356787e-8,topo_c_45,topo_c_45
h2r,0.435546823962735,0.1327361457,3.681e-4,topo_c_46,topo_c_46
h2r,0.4936699156917658,0.08715117629,4e-7,topo_c_47,topo_c_47
h2r,0.5213833386231865,0.07429056115,3.207923e-10,topo_c_48,topo_c_48
h2r,0.5413597776998507,0.06029697381,3.8731992e-14,topo_c_49,topo_c_49
h2r,0.4127561444435558,0.07944179155,9e-7,topo_c_50,topo_c_50
h2r,0.4455826542018794,0.07905443978,2e-7,topo_c_51,topo_c_51
h2r,0.4631039893059705,0.07877765059,1e-7,topo_c_52,topo_c_52
h2r,0.5471813192750198,0.07341297579,4.7947054e-10,topo_c_53,topo_c_53
h2r,0.39461888505431,0.08900861343,1.6e-5,topo_c_54,topo_c_54
h2r,0.5529834932184612,0.06313998676,5.2986635e-13,topo_c_55,topo_c_55
h2r,0.5452294891899792,0.06710917824,1.2294333e-12,topo_c_56,topo_c_56
h2r,0.5457733229912021,0.067266000510000007,4.2071605e-12,topo_c_57,topo_c_57
h2r,0.448422317748573,0.08463431244,2e-7,topo_c_58,topo_c_58
h2r,0.4910649686586086,0.07057264261,4.6128269e-10,topo_c_59,topo_c_59
h2r,0.5188650213498788,0.07491380074,2.0795205e-9,topo_c_60,topo_c_60
h2r,0.6781597891738727,0.04844939349,3.4940219e-21,topo_c_61,topo_c_61
h2r,0.6081321767540662,0.05424143358,1.6872729e-17,topo_c_62,topo_c_62
h2r,0.4489761777674844,0.07599748601,1.1160844e-8,topo_c_63,topo_c_63
h2r,0.4739872731008682,0.07745968407,7.0872695e-9,topo_c_64,topo_c_64
h2r,0.491421582205849,0.0769010745,4.959494e-9,topo_c_65,topo_c_65
h2r,0.6673100890826664,0.04974880036,2.123037e-21,topo_c_66,topo_c_66
h2r,0.5345335513981163,0.06530343163,2.6351532e-12,topo_c_67,topo_c_67
h2r,0.499099037153297,0.06728425352,3.255422e-11,topo_c_68,topo_c_68
h2r,0.5365682354644431,0.0848534182,1e-7,topo_c_69,topo_c_69
h2r,0.599569151443663,0.08612490239,8.944886e-9,topo_c_70,topo_c_70
